Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.54783303994568
Afghanistan,AFG,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,1.63389324656947
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,55.5955503477009
Afghanistan,AFG,Net migration,SM.POP.NETM,-314602
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.0919722937442495
Albania,ALB,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,24.0589869528204
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,104.870693430657
Albania,ALB,Net migration,SM.POP.NETM,-69998
Algeria,DZA,Population growth (annual %),SP.POP.GROW,2.04490931275225
Algeria,DZA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,1.05186985792517
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,17.3776972391205
Algeria,DZA,Net migration,SM.POP.NETM,-50002
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-0.219117153655893
American Samoa,ASM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,278.085
American Samoa,ASM,Net migration,SM.POP.NETM,..
Andorra,AND,Population growth (annual %),SP.POP.GROW,-0.38628103925755
Andorra,AND,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,163.823404255319
Andorra,AND,Net migration,SM.POP.NETM,..
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.32215836256296
Angola,AGO,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,4.30342893395539
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,23.9165549049491
Angola,AGO,Net migration,SM.POP.NETM,32066
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,0.952914631258636
Antigua and Barbuda,ATG,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,10.920043283727
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,216.875
Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,0
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1.03713389686514
Argentina,ARG,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,15.8771787647257
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,16.0941907925267
Argentina,ARG,Net migration,SM.POP.NETM,24000
Armenia,ARM,Population growth (annual %),SP.POP.GROW,0.293899005891436
Armenia,ARM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,21.5553875538597
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,103.434808570425
Armenia,ARM,Net migration,SM.POP.NETM,-24989
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.471874002595904
Aruba,ABW,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,17.1229041781619
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,585.338888888889
Aruba,ABW,Net migration,SM.POP.NETM,1004
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.68452310845434
Australia,AUS,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,13.7149680150395
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,3.19836141871706
Australia,AUS,Net migration,SM.POP.NETM,791229
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.694621103604983
Austria,AUT,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,6.04880435215347
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,106.61131846825
Austria,AUT,Net migration,SM.POP.NETM,324998
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,0.98126180450475
Azerbaijan,AZE,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,16.386956193334
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,119.208741622511
Azerbaijan,AZE,Net migration,SM.POP.NETM,6002
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,1.00728534144547
"Bahamas, The",BHS,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,11.2568075863374
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,38.1367632367632
"Bahamas, The",BHS,Net migration,SM.POP.NETM,4999
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,4.67804747089484
Bahrain,BHR,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,13.3102534113061
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,1915.48333333333
Bahrain,BHR,Net migration,SM.POP.NETM,239000
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,1.07553524898766
Bangladesh,BGD,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,1.98538101281744
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,1226.74518706307
Bangladesh,BGD,Net migration,SM.POP.NETM,-1847503
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.150692216122692
Barbados,BRB,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,665.648837209302
Barbados,BRB,Net migration,SM.POP.NETM,-397
Belarus,BLR,Population growth (annual %),SP.POP.GROW,-0.0344214189254713
Belarus,BLR,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,2.96476532594608
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,46.7917828464456
Belarus,BLR,Net migration,SM.POP.NETM,43648
Belgium,BEL,Population growth (annual %),SP.POP.GROW,0.385228018372369
Belgium,BEL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,4.31947298125167
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,375.66571994716
Belgium,BEL,Net migration,SM.POP.NETM,240000
