"Alkuaika UTC","Loppuaika UTC","Sähkönkulutus Suomessa"
"2024-01-31T22:00:00.000Z","2024-01-31T23:00:00.000Z","9866"
"2024-01-31T22:15:00.000Z","2024-01-31T22:30:00.000Z","9961"
"2024-01-31T22:30:00.000Z","2024-01-31T22:45:00.000Z","9843"
"2024-01-31T22:45:00.000Z","2024-01-31T23:00:00.000Z","9782"
"2024-01-31T23:00:00.000Z","2024-02-01T00:00:00.000Z","9563.2"
"2024-01-31T23:15:00.000Z","2024-01-31T23:30:00.000Z","9642"
"2024-01-31T23:30:00.000Z","2024-01-31T23:45:00.000Z","9558"
"2024-01-31T23:45:00.000Z","2024-02-01T00:00:00.000Z","9568"
"2024-02-01T00:00:00.000Z","2024-02-01T01:00:00.000Z","9339.1"
"2024-02-01T00:15:00.000Z","2024-02-01T00:30:00.000Z","9386"
"2024-02-01T00:30:00.000Z","2024-02-01T00:45:00.000Z","9324"
"2024-02-01T00:45:00.000Z","2024-02-01T01:00:00.000Z","9332"
"2024-02-01T01:00:00.000Z","2024-02-01T02:00:00.000Z","9287.9"
"2024-02-01T01:15:00.000Z","2024-02-01T01:30:00.000Z","9294"
"2024-02-01T01:30:00.000Z","2024-02-01T01:45:00.000Z","9298"
"2024-02-01T01:45:00.000Z","2024-02-01T02:00:00.000Z","9278"
"2024-02-01T02:00:00.000Z","2024-02-01T03:00:00.000Z","9302.8"
"2024-02-01T02:15:00.000Z","2024-02-01T02:30:00.000Z","9288"
"2024-02-01T02:30:00.000Z","2024-02-01T02:45:00.000Z","9290"
"2024-02-01T02:45:00.000Z","2024-02-01T03:00:00.000Z","9286"
"2024-02-01T03:00:00.000Z","2024-02-01T04:00:00.000Z","9502.7"
"2024-02-01T03:15:00.000Z","2024-02-01T03:30:00.000Z","9444"
"2024-02-01T03:30:00.000Z","2024-02-01T03:45:00.000Z","9446"
"2024-02-01T03:45:00.000Z","2024-02-01T04:00:00.000Z","9604"
"2024-02-01T04:00:00.000Z","2024-02-01T05:00:00.000Z","9979.5"
